circulating_supply,id,last_updated,market_cap,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price,rank,symbol,total_supply,volume_24h,website_slug
6785521238.0,2766,1531081965.0,22798130.0,,Cryptaur,0.15,7.34,5.07,0.00335982,279,CPT,27662180148.0,167586.0,cryptaur
4416350572.0,2767,1531081965.0,22675266.0,,APIS,0.12,6.08,-3.42,0.00513439,280,APIS,9520000000.0,28683800.0,apis
24593615.0,2768,1531081965.0,1295525.0,,Fabric Token,4.76,-0.67,32.65,0.0526773,814,FT,43593615.0,7465.28,fabric-token
,2769,1531081966.0,,,Rhenium,5.32,26.87,18.12,0.0470203,1455,XRH,8863934.0,118499.0,rhenium
27047440.0,2770,1531081967.0,676072.0,,Cazcoin,0.12,2.21,-2.09,0.0249958,885,CAZ,34673665.0,19337.9,cazcoin
130000009.0,2771,1531081966.0,6863090.0,,RED,0.0,3.0,8.5,0.052793,519,RED,200000000.0,1536360.0,red
700000000.0,2772,1531081966.0,4908680.0,,Digitex Futures,0.07,-6.67,0.95,0.0070124,593,DGTX,1000000000.0,9102.37,digitex-futures
2171078.0,2773,1531081965.0,17773553.0,,GINcoin,-2.98,-8.9,-19.82,8.18651,330,GIN,2178028.0,385342.0,gincoin
47658356.0,2774,1531081966.0,1327371.0,,Invacio,-0.02,4.3,-25.47,0.0278518,809,INV,60000000.0,8438.6,invacio
465244418.0,2775,1531081967.0,6492300.0,,Faceter,-1.74,13.95,41.23,0.0139546,538,FACE,938641610.0,154304.0,faceter
27226584.0,2776,1531081966.0,2626200.0,,Travala,0.13,12.22,-17.21,0.0964572,725,AVA,61571086.0,4848.87,travala
1141040005.0,2777,1531081966.0,34840516.0,,IoTeX,0.92,8.58,16.45,0.030534,214,IOTX,10000000000.0,876893.0,iotex
